Year,Election,Party,Contested,Seats_Won,Vote_Percentage,Vote_Per_Seat_Contested
2004,AP Assembly,INC,234,185,38.56,49.1
2004,AP Assembly,TDP,267,47,37.59,41.24
2004,AP Assembly,TRS,54,26,6.68,33.89
2004,AP Assembly,CPM,14,9,1.84,34.74
2004,AP Assembly,CPI,12,6,1.53,36.86
2004,AP Assembly,MIM,7,4,1.05,42.48
2004,AP Assembly,BJP,27,2,2.63,29.72
2004,AP Assembly,JNP,37,2,0.86,6.71
2004,AP Assembly,BSP,160,1,1.23,2.21
2004,AP Assembly,SP,19,1,0.27,4.1
2004,AP Assembly,PPOI,65,0,0.32,1.38
2004,AP Assembly,MBT,7,0,0.2,7.73
2004,AP Assembly,CPIML(L),11,0,0.19,5.27
2004,AP Assembly,TCP,1,0,0.15,38.34
2004,AP Assembly,MCPI(S),15,0,0.06,0.97
2004,AP Assembly,LJNSP,4,0,0.06,3.71
2004,AP Assembly,MRS,5,0,0.03,1.64
2004,AP Assembly,BJRP,9,0,0.03,0.9
2004,AP Assembly,TDP(LP),18,0,0.02,0.37
2004,AP Assembly,ANC,5,0,0.02,1.18
2004,AP Assembly,RPI(K)/RPI(AMB),5,0,0.02,0.9
2004,AP Assembly,IUML,2,0,0.02,1.04
2004,AP Assembly,PP,8,0,0.01,0.46
2004,AP Assembly,JD(S),5,0,0.01,0.64
2004,AP Assembly,BJS,4,0,0.01,0.55
2004,AP Assembly,BCUF,7,0,0.01,0.41
2004,AP Assembly,RJD,8,0,0.01,0.33
2004,AP Assembly,BSP(A),1,0,0.01,1.81
2004,AP Assembly,SP(R),1,0,0.01,2.05
2004,AP Assembly,RPI,3,0,0.0,0.44
2004,AP Assembly,IJP,2,0,0.0,0.34
2004,AP Assembly,RPI(ATHA),1,0,0.0,1.06
2004,AP Assembly,BRP,1,0,0.0,0.37
2004,AP Assembly,Other parties,5,0,0.0,0.0
2004,AP Assembly,Independents,872,11,6.57,0.0
2004,AP Assembly,Overall,1896,294,100.0,0.0
