Year,Election_Type,Constituency,Winner,Party,Majority
2008,Lok Sabha,Adilabad,Indra Karan Reddy,Congress,50674
2008,Lok Sabha,Warangal,Dayakara Rao,TDP,4289
2008,Lok Sabha,Hanamkonda,Vinod,TRS,55264
2008,Lok Sabha,Karim Nagar,KCR,TRS,15289
2008,Assembly,Musheerabad,Manemma,Congress,2075
2008,Assembly,Yellareddy,Janardhan Goud,Congress,
2008,Assembly,Medaram,Eeswar,TRS,20000
2008,Assembly,Khanapur,Suman Rathod,TDP,713
2008,Assembly,Secunderabad,Talasani Srinivasa Yadav,TDP,16000
2008,Assembly,Khairatabad,Vishnu,Congress,143996
2008,Assembly,Terlam,T Lakshmannayudu,TDP,42280
2008,Assembly,Station Ghanapur,Kadiyam Srihari,TDP,4118
2008,Assembly,Ramayampet,Hanumantha Rao,TDP,10973
2008,Assembly,Vikarabad,Prasad,Congress,28892
2008,Assembly,Zedcharla,Mallu Ravi,Congress,2106
2008,Assembly,Kamalapur,E Rajendra,TRS,22157
2008,Assembly,Aleru,Nagesh,TRS,3924
2008,Assembly,Ditchpalli,A Lalita,Congress,8446
2008,Assembly,Huzoorabad,Capt. Lakshmikantha Rao,TRS,20718
2008,Assembly,Dommata,Ramalinga Reddy,TRS,5142
2008,Assembly,Siddipeta,Harish Rao,TRS,58935
2008,Assembly,Cheriyala,K Pratap Reddy,TRS,14434
